millis, accelx, accely, accelz, v_x, v_y, v_z, p_x, p_y, p_z
20.065, -0.006567389, -0.0076433495, 0.02748108, -0.13177466, -0.15336381, 0.5514079, 249.99657, 250.00398, 249.98566
0.089, 0.0018066466, -0.0064470544, 0.035256386, -0.13161387, -0.1539376, 0.5545457, 249.99315, 250.00798, 249.97124
0.038, -0.0011840761, 0.001328826, 0.03166771, -0.13165887, -0.1538871, 0.55574906, 249.98973, 250.01198, 249.95679
0.034, 0.0030029118, 0.0049176887, 0.035256386, -0.13155676, -0.15371989, 0.55694777, 249.98631, 250.01598, 249.9423
0.038, -5.8594346E-4, 1.3253093E-4, 0.040041924, -0.13157903, -0.15371485, 0.55846936, 249.9829, 250.01997, 249.92778
0.037, 1.218915E-5, 0.0031232536, 0.034658432, -0.13157858, -0.15359929, 0.5597517, 249.97948, 250.02397, 249.91322
0.033, 6.1035156E-4, -0.0022600442, 0.031069756, -0.13155843, -0.15367387, 0.560777, 249.97606, 250.02797, 249.89864
0.034, 0.0024047792, -0.0046526194, 0.02927494, -0.13147667, -0.15383206, 0.56177235, 249.97264, 250.03197, 249.88403
0.033, 0.005395502, -0.0022600442, 0.030471802, -0.13129862, -0.15390664, 0.56277794, 249.96922, 250.03596, 249.8694
0.035, 0.0047973692, 0.003721401, 0.023293495, -0.13113071, -0.15377639, 0.5635932, 249.96582, 250.03996, 249.85475
0.038, 0.006591797, 0.0043195486, 0.031069756, -0.13088022, -0.15361226, 0.56477386, 249.96242, 250.04396, 249.84007
0.033, 6.1035156E-4, 0.0031232536, 0.040041924, -0.13086008, -0.15350918, 0.56609523, 249.95901, 250.04796, 249.82535
0.034, 0.0012084842, 0.001328826, 0.032265663, -0.130819, -0.153464, 0.56719226, 249.95561, 250.05194, 249.81061
0.034, 0.0018066466, -0.0010637566, 0.02927494, -0.13075757, -0.15350017, 0.5681876, 249.95221, 250.05594, 249.79584
0.035, -0.0011840761, -0.0046526194, 0.026284218, -0.13079901, -0.15366301, 0.56910753, 249.9488, 250.05994, 249.78104
0.034, -0.0017822385, -0.0046526194, 0.023293495, -0.13085961, -0.1538212, 0.5698995, 249.9454, 250.06393, 249.76622
0.038, -0.004772961, -0.0028581917, 0.026284218, -0.13104099, -0.15392981, 0.5708983, 249.942, 250.06793, 249.75137
0.033, 0.0047973692, -0.0046526194, 0.02090168, -0.13088268, -0.15408336, 0.57158804, 249.9386, 250.07195, 249.73651
0.037, 0.0012084842, -0.0046526194, 0.021499634, -0.13083796, -0.15425551, 0.5723835, 249.9352, 250.07596, 249.72163
0.036, 0.004199207, -0.0016618967, 0.019106865, -0.13068679, -0.15431534, 0.57307136, 249.9318, 250.07997, 249.70674
0.035, 0.0030029118, -4.6560913E-4, 0.019106865, -0.13058169, -0.15433164, 0.5737401, 249.92839, 250.08398, 249.69182
0.035, 0.0036010742, -0.0010637566, 0.022695541, -0.13045566, -0.15436888, 0.5745345, 249.925, 250.088, 249.67688
0.033, 0.006591797, 0.001926966, 0.023293495, -0.13023813, -0.1543053, 0.57530314, 249.92162, 250.09201, 249.66193
0.034, 0.0030029118, 0.0031232536, 0.031069756, -0.13013603, -0.15419911, 0.5763595, 249.91823, 250.09602, 249.64694
0.033, 0.005395502, -0.0010637566, 0.035855293, -0.12995797, -0.15423422, 0.5775427, 249.91486, 250.10004, 249.63193
0.036, 0.0047973692, 0.0031232536, 0.024490356, -0.12978527, -0.15412177, 0.5784244, 249.91148, 250.10405, 249.61688
